Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
3897,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10114214569330215,0.662915050983429,0.2512979507446289
3980,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3980,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10112203657627106,0.6625823974609375,0.2517808675765991
4064,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4064,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.1013522818684578,0.6621711254119873,0.2523593604564667
4147,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4147,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10205097496509552,0.6634365320205688,0.2534602880477905
4230,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4230,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.10332943499088287,0.6676064729690552,0.2555477023124695
4314,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4314,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.10544244199991226,0.675256073474884,0.25841453671455383
4397,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4397,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.10788741707801819,0.6856855750083923,0.260407418012619
4481,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4481,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.1112668514251709,0.6996784806251526,0.2614698112010956
4564,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4564,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.11221277713775635,0.7084474563598633,0.2602411210536957
4648,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4648,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.11210618168115616,0.7134566307067871,0.2620543837547302
4731,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4731,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.11158134788274765,0.7190287113189697,0.2652350962162018
4815,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4815,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.13439930975437164,0.7421162128448486,0.2779228985309601
4898,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4898,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.1745629757642746,0.750110387802124,0.30007514357566833
4982,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
4982,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.22446466982364655,0.7543973922729492,0.3192310631275177
5066,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5066,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.26160088181495667,0.7579415440559387,0.3330680727958679
5149,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5149,,,,2022-10-19 9:37:10 AM,FingerFollowData,,,RightControllerPosition,0.27666619420051575,0.7679768204689026,0.34703388810157776
5233,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5233,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.2645437717437744,0.7897165417671204,0.364530473947525
5316,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5316,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.22709068655967712,0.8193123936653137,0.3838011622428894
5400,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5400,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.17429859936237335,0.8519421815872192,0.3988886773586273
5483,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5483,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.12012791633605957,0.8740596771240234,0.4083947241306305
5554,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
5554,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.08295659720897675,0.8794082403182983,0.4125575125217438
5637,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921496868133545
5637,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.0578637570142746,0.8739567995071411,0.41877636313438416
5721,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.2892148196697235
5721,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.05984950065612793,0.8634626865386963,0.43117934465408325
5804,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451420426368713,-0.2892149090766907
5804,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.08901853859424591,0.8587000966072083,0.4504311680793762
5888,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.745141863822937,-0.28921496868133545
5888,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.13521291315555573,0.87467360496521,0.46948474645614624
5971,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.2892149090766907
5971,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.18536123633384705,0.906971275806427,0.4815903902053833
6055,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921493887901306
6055,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.23170065879821777,0.9472607374191284,0.4861704707145691
6138,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,LeftControllerPosition,-1.1463463306427002,0.7451423406600952,-0.2892146110534668
6138,,,,2022-10-19 9:37:11 AM,FingerFollowData,,,RightControllerPosition,0.26895201206207275,0.9881463050842285,0.48466578125953674
6222,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.745141863822937,-0.2892147898674011
6222,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.2958231568336487,1.0251518487930298,0.4801514744758606
6305,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451418042182922,-0.28921496868133545
6305,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.31288403272628784,1.0546753406524658,0.4746072292327881
6389,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419234275818,-0.28921499848365784
6389,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.32571011781692505,1.073445439338684,0.47054851055145264
6472,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463463306427002,0.7451422214508057,-0.28921470046043396
6472,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.3328620493412018,1.0794098377227783,0.4689345061779022
6556,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419830322266,-0.2892149090766907
6556,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,RightControllerPosition,0.3326246440410614,1.073880672454834,0.47076907753944397
6639,,,,2022-10-19 9:37:12 AM,FingerFollowData,,,LeftControllerPosition,-1.1463464498519897,0.7451419830322266,-0.28921476006507874
