_id,Value.Time,Value.ElapsedTime,Value.Type,Value.PatientID,Value.TrialID,Value.Mode,Value.ToolEnded,Value.Repetitions,Value.ToolData,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
6504649688f911d6b5fc6974,9/15/2023 10:05,4898,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc6976,9/15/2023 10:05,4898,RightControllerPosition,,,,,,FingerFollowData,0.01856239,0.59212774,0.251902461,,,,
6504649688f911d6b5fc6978,9/15/2023 10:05,4982,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc697a,9/15/2023 10:05,4982,RightControllerPosition,,,,,,FingerFollowData,0.018160557,0.592047155,0.25187549,,,,
6504649688f911d6b5fc697c,9/15/2023 10:05,5065,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc697e,9/15/2023 10:05,5065,RightControllerPosition,,,,,,FingerFollowData,0.018357193,0.592242241,0.25194332,,,,
6504649688f911d6b5fc6980,9/15/2023 10:05,5149,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc6982,9/15/2023 10:05,5149,RightControllerPosition,,,,,,FingerFollowData,0.018775625,0.592034638,0.252161831,,,,
6504649688f911d6b5fc6984,9/15/2023 10:05,5232,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc6986,9/15/2023 10:05,5232,RightControllerPosition,,,,,,FingerFollowData,0.018794933,0.591953039,0.252281427,,,,
6504649688f911d6b5fc6988,9/15/2023 10:05,5316,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc698a,9/15/2023 10:05,5316,RightControllerPosition,,,,,,FingerFollowData,0.018888457,0.592583716,0.252131194,,,,
6504649688f911d6b5fc698c,9/15/2023 10:05,5399,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc698e,9/15/2023 10:05,5399,RightControllerPosition,,,,,,FingerFollowData,0.018691711,0.593293905,0.251945823,,,,
6504649688f911d6b5fc6990,9/15/2023 10:05,5483,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc6992,9/15/2023 10:05,5483,RightControllerPosition,,,,,,FingerFollowData,0.018403577,0.593846738,0.251571476,,,,
6504649688f911d6b5fc6994,9/15/2023 10:05,5566,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc6996,9/15/2023 10:05,5566,RightControllerPosition,,,,,,FingerFollowData,0.018739963,0.594500601,0.251215488,,,,
6504649688f911d6b5fc6998,9/15/2023 10:05,5650,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc699a,9/15/2023 10:05,5650,RightControllerPosition,,,,,,FingerFollowData,0.018920539,0.59519273,0.250786901,,,,
6504649688f911d6b5fc699d,9/15/2023 10:05,5733,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc699f,9/15/2023 10:05,5733,RightControllerPosition,,,,,,FingerFollowData,0.018882353,0.595898986,0.250323057,,,,
6504649688f911d6b5fc69a1,9/15/2023 10:05,5816,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649688f911d6b5fc69a3,9/15/2023 10:05,5816,RightControllerPosition,,,,,,FingerFollowData,0.018516537,0.596545279,0.24949114,,,,
6504649788f911d6b5fc69a5,9/15/2023 10:05,5900,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69a7,9/15/2023 10:05,5900,RightControllerPosition,,,,,,FingerFollowData,0.018175274,0.597131968,0.248966828,,,,
6504649788f911d6b5fc69a9,9/15/2023 10:05,5983,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69ab,9/15/2023 10:05,5983,RightControllerPosition,,,,,,FingerFollowData,0.017634448,0.597355008,0.248366863,,,,
6504649788f911d6b5fc69ad,9/15/2023 10:05,6067,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69af,9/15/2023 10:05,6067,RightControllerPosition,,,,,,FingerFollowData,0.016900362,0.596450567,0.248113737,,,,
6504649788f911d6b5fc69b1,9/15/2023 10:05,6151,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69b3,9/15/2023 10:05,6151,RightControllerPosition,,,,,,FingerFollowData,0.016550262,0.595781505,0.248050153,,,,
6504649788f911d6b5fc69b5,9/15/2023 10:05,6234,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69b7,9/15/2023 10:05,6234,RightControllerPosition,,,,,,FingerFollowData,0.016596235,0.595832884,0.247731,,,,
6504649788f911d6b5fc69b9,9/15/2023 10:05,6318,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69bb,9/15/2023 10:05,6318,RightControllerPosition,,,,,,FingerFollowData,0.016529752,0.59598273,0.247257069,,,,
6504649788f911d6b5fc69bd,9/15/2023 10:05,6401,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69bf,9/15/2023 10:05,6401,RightControllerPosition,,,,,,FingerFollowData,0.016867632,0.596819997,0.247362047,,,,
6504649788f911d6b5fc69c1,9/15/2023 10:05,6485,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69c3,9/15/2023 10:05,6485,RightControllerPosition,,,,,,FingerFollowData,0.022007946,0.613997638,0.253407896,,,,
6504649788f911d6b5fc69c5,9/15/2023 10:05,6568,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69c7,9/15/2023 10:05,6568,RightControllerPosition,,,,,,FingerFollowData,0.039764602,0.685314775,0.277996182,,,,
6504649788f911d6b5fc69c9,9/15/2023 10:05,6652,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69cb,9/15/2023 10:05,6652,RightControllerPosition,,,,,,FingerFollowData,0.060986392,0.789363384,0.324072182,,,,
6504649788f911d6b5fc69cd,9/15/2023 10:05,6735,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69cf,9/15/2023 10:05,6735,RightControllerPosition,,,,,,FingerFollowData,0.073290706,0.904046893,0.371766239,,,,
6504649788f911d6b5fc69d1,9/15/2023 10:05,6819,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649788f911d6b5fc69d3,9/15/2023 10:05,6819,RightControllerPosition,,,,,,FingerFollowData,0.0776297,0.99803555,0.423323691,,,,
6504649888f911d6b5fc69d5,9/15/2023 10:05,6902,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649888f911d6b5fc69d7,9/15/2023 10:05,6902,RightControllerPosition,,,,,,FingerFollowData,0.087886244,1.063084006,0.475827634,,,,
6504649888f911d6b5fc69d9,9/15/2023 10:05,6973,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649888f911d6b5fc69db,9/15/2023 10:05,6973,RightControllerPosition,,,,,,FingerFollowData,0.105762906,1.095458627,0.50271678,,,,
6504649888f911d6b5fc69dd,9/15/2023 10:05,7056,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649888f911d6b5fc69df,9/15/2023 10:05,7056,RightControllerPosition,,,,,,FingerFollowData,0.123954952,1.117745876,0.509101808,,,,
6504649888f911d6b5fc69e1,9/15/2023 10:05,7140,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649888f911d6b5fc69e3,9/15/2023 10:05,7140,RightControllerPosition,,,,,,FingerFollowData,0.131783888,1.128615737,0.506835878,,,,
6504649888f911d6b5fc69e5,9/15/2023 10:05,7223,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649888f911d6b5fc69e7,9/15/2023 10:05,7223,RightControllerPosition,,,,,,FingerFollowData,0.129136398,1.118857861,0.502535939,,,,
