Value.ElapsedTime,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
4233,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4233,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.08896909654140472,1.1114319562911987,0.2700542211532593,,
4317,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4317,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.07575947046279907,1.1179089546203613,0.18726326525211334,,
4400,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4400,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.05996628478169441,1.1200414896011353,0.11305538564920425,,
4484,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4484,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.04501811042428017,1.1186096668243408,0.06019649654626846,,
4568,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4568,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.038428355008363724,1.1180602312088013,0.043002352118492126,,
4651,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4651,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.04972554370760918,1.1186963319778442,0.06581899523735046,,
4735,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4735,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.07866537570953369,1.1078146696090698,0.11395426839590073,,
4818,,,2022-10-20 10:53:51 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
