Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
4427,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0280868,1,,
4482,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4482,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.05730198,1.170434713,0.49063766,,,,
4538,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.027677201,1,,
4566,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4566,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.05349699,1.17680347,0.490152776,,,,
4622,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.069672801,1,,
4650,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4650,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.048347946,1.176119447,0.490923703,,,,
4733,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4733,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.041175731,1.177561522,0.489633858,,,,
4747,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.027992699,1,,
4817,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4817,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.042609204,1.18440187,0.491718352,,,,
4844,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.055886701,1,,
4900,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4900,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.030982185,1.173398256,0.488845944,,,,
4970,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.055502702,1,,
4984,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
