Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
53528,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53528,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.08104537427425385,-0.27249979972839355,0.36044350266456604
53612,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53612,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.08005102723836899,-0.25138378143310547,0.3510628640651703
53695,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53695,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.08056826889514923,-0.21978625655174255,0.34858429431915283
53779,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53779,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.08831479400396347,-0.17956951260566711,0.35866212844848633
53862,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53862,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.09412983059883118,-0.12863942980766296,0.38203442096710205
53946,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53946,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.0995538979768753,-0.08881113678216934,0.41522711515426636
54029,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54029,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.1025516539812088,-0.054086342453956604,0.45229944586753845
54113,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54113,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.11226487159729004,-0.04706869646906853,0.4937097430229187
54197,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54197,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.11923030763864517,-0.051746122539043427,0.5272965431213379
54280,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
54280,2022-09-28 11:04:20 AM,,PegboardData,,,RightControllerPosition,0.12560409307479858,-0.060709141194820404,0.5509517192840576
54364,2022-09-28 11:04:20 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
