Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
219354,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.31104037165641785,,
219354,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3740159571170807,0.7287209033966064,0.29608768224716187,,
219368,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015076637268,-0.31104040145874023,,
219368,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3742457628250122,0.7280429005622864,0.2950422763824463,,
219369,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015076637268,-0.31104040145874023,,
219369,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3742457628250122,0.7280429005622864,0.2950422763824463,,
219426,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.3110404908657074,,
219426,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3752880394458771,0.7234958410263062,0.290679931640625,,
219453,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.31104037165641785,,
219453,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3760342299938202,0.7209123373031616,0.2885875105857849,,
219453,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.31104037165641785,,
219453,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3760342299938202,0.7209123373031616,0.2885875105857849,,
219521,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217680931091,0.7616016268730164,-0.31104016304016113,,
219521,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3791426122188568,0.716651976108551,0.2847841680049896,,
219536,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
219536,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37970155477523804,0.716410219669342,0.2844940721988678,,
219536,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
