Value.CurrentRepetition,Value.Delay,Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,,2815,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.0623832531273365,1.2395033836364746,0.49133551120758057
2,1366,2870,,2022-09-28 12:21:19 PM,,,,FingerNoseData,,,
,,2898,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,2898,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.06854736059904099,1.2524861097335815,0.5152148604393005
,,2982,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,2982,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.07568028569221497,1.2528660297393799,0.5214805603027344
,,3066,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122860908508
,,3066,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.07357911020517349,1.2493799924850464,0.5147915482521057
,,3149,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,3149,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.06428158283233643,1.2322041988372803,0.49037855863571167
,,3233,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794278860092163,0.11096110939979553
,,3233,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.05176660045981407,1.2004531621932983,0.4378787875175476
,,3316,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,3316,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.04421495273709297,1.1529078483581543,0.3658406734466553
,,3400,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794278264045715,0.11096113920211792
,,3400,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.03990856185555458,1.1091418266296387,0.30101630091667175
,,3484,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096126586198807
,,3484,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.03908595070242882,1.0876154899597168,0.24674804508686066
,,3567,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,3567,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.03553691506385803,1.0917847156524658,0.2093426138162613
,,3651,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096122115850449
,,3651,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.029917143285274506,1.098217248916626,0.1827043741941452
,,3734,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,3734,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.028149690479040146,1.0952898263931274,0.1761585772037506
,,3818,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,3818,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.024528438225388527,1.0995125770568848,0.21734414994716644
,,3902,,2022-09-28 12:21:20 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,3902,,2022-09-28 12:21:20 PM,FingerNoseData,,,RightControllerPosition,-0.004285456147044897,1.1324889659881592,0.30205318331718445
,,3985,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,3985,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.024690428748726845,1.1834889650344849,0.38491472601890564
,,4069,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,4069,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.04722137749195099,1.2306159734725952,0.4489864110946655
,,4151,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,4151,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.05668577924370766,1.2643711566925049,0.48441487550735474
3,1365,4235,,2022-09-28 12:21:21 PM,,,,FingerNoseData,,,
,,4235,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096122115850449
,,4235,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.06027288734912872,1.2856063842773438,0.511404275894165
,,4318,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113175153732
,,4318,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.06162549927830696,1.300963044166565,0.5213822722434998
,,4402,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096122115850449
,,4402,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.058530520647764206,1.292490005493164,0.5291417241096497
,,4472,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096113175153732
,,4472,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.056939497590065,1.2871159315109253,0.5119321942329407
,,4556,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122860908508
,,4556,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.04312051832675934,1.2550606727600098,0.47508013248443604
,,4639,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,4639,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,0.011341377161443233,1.200002908706665,0.41589075326919556
,,4723,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122860908508
,,4723,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,-0.020627379417419434,1.1369792222976685,0.34321293234825134
,,4807,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096121370792389
,,4807,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,-0.030981766059994698,1.0933493375778198,0.27754709124565125
,,4890,,2022-09-28 12:21:21 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096125096082687
,,4890,,2022-09-28 12:21:21 PM,FingerNoseData,,,RightControllerPosition,-0.032610390335321426,1.0753740072250366,0.22224333882331848
,,4973,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.11096120625734329
,,4973,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.029863828793168068,1.0747051239013672,0.17901550233364105
,,5057,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,5057,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.028690144419670105,1.0812866687774658,0.16330811381340027
,,5140,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280648231506,0.11096112430095673
,,5140,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.03335713595151901,1.081080436706543,0.1814921349287033
,,5224,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.11096121370792389
,,5224,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.051368314772844315,1.0993766784667969,0.25856876373291016
,,5307,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,5307,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.07029202580451965,1.1473489999771118,0.35344526171684265
,,5391,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096106469631195
,,5391,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.09060277789831161,1.1884779930114746,0.44222375750541687
,,5474,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,5474,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.10091782361268997,1.2201334238052368,0.4977700710296631
4,1267,5502,,2022-09-28 12:21:22 PM,,,,FingerNoseData,,,
,,5558,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,5558,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.10822967439889908,1.2451990842819214,0.5193109512329102
,,5642,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096113175153732
,,5642,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.10877403616905212,1.24484121799469,0.5330758094787598
,,5725,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,5725,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.10155166685581207,1.2265392541885376,0.5097261071205139
,,5809,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
,,5809,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.08870309591293335,1.18477201461792,0.4538067579269409
,,5892,,2022-09-28 12:21:22 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794277667999268,0.11096116155385971
,,5892,,2022-09-28 12:21:22 PM,FingerNoseData,,,RightControllerPosition,-0.0735463872551918,1.128406047821045,0.3706165552139282
,,5976,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,5976,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.060192689299583435,1.0937304496765137,0.3060251474380493
,,6059,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.11096122115850449
,,6059,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.05709276348352432,1.080532193183899,0.256975919008255
,,6143,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122860908508
,,6143,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.05173264443874359,1.0860151052474976,0.21714116632938385
,,6226,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,6226,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.048687614500522614,1.092161774635315,0.19239911437034607
,,6310,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096123605966568
,,6310,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.049683503806591034,1.09066903591156,0.1911870837211609
,,6394,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.11096122115850449
,,6394,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.06998977065086365,1.0926847457885742,0.24933160841464996
,,6477,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096113175153732
,,6477,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.09751264750957489,1.103196382522583,0.3492129445075989
,,6548,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,6548,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.11251988261938095,1.1207716464996338,0.41496002674102783
,,6631,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096113175153732
,,6631,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.13339495658874512,1.1354202032089233,0.4774099588394165
5,1184,6686,,2022-09-28 12:21:23 PM,,,,FingerNoseData,,,
,,6714,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,6714,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.1479921191930771,1.146306037902832,0.5229898691177368
,,6798,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
,,6798,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.15047040581703186,1.1587224006652832,0.5407068729400635
,,6882,,2022-09-28 12:21:23 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,6882,,2022-09-28 12:21:23 PM,FingerNoseData,,,RightControllerPosition,-0.14815354347229004,1.147865653038025,0.5199413299560547
,,6965,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794280052185059,0.11096113175153732
,,6965,,2022-09-28 12:21:24 PM,FingerNoseData,,,RightControllerPosition,-0.12439543753862381,1.1350678205490112,0.4747917354106903
,,7049,,2022-09-28 12:21:24 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280052185059,0.1109611839056015
