Value.ElapsedTime,Value.Scenario,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
39576,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39576,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.23490792512893677,0.0516061969101429,0.5016540884971619
39659,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39659,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.23904204368591309,-0.0007628618041053414,0.4289195239543915
39743,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39743,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.23507577180862427,-0.05835651233792305,0.36081191897392273
39827,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39827,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.21838434040546417,-0.10468898713588715,0.31884652376174927
39911,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39911,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.19892756640911102,-0.14365465939044952,0.2954650819301605
39994,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39994,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.18030107021331787,-0.1881541758775711,0.27991577982902527
40078,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40078,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.16418956220149994,-0.23606270551681519,0.26401257514953613
40162,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40162,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.15022240579128265,-0.2679486572742462,0.24360692501068115
40245,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
40245,,2022-10-11 11:42:20 AM,,PegboardData,,,RightControllerPosition,-0.137538880109787,-0.272098183631897,0.2188403308391571
40329,,2022-10-11 11:42:20 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
